STATE,name,entryType,startTime,duration,initiatorType,nextHopProtocol,workerStart,redirectStart,redirectEnd,fetchStart,domainLookupStart,domainLookupEnd,connectStart,connectEnd,secureConnectionStart,requestStart,responseStart,responseEnd,transferSize,encodedBodySize,decodedBodySize,serverTiming
SW was awake,https://importscript.surge.sh/network.json,resource,1435.6000000007043,151.20000000024447,fetch,http/1.1,1439.5000000004075,0,0,1439.5000000004075,1439.5000000004075,1439.5000000004075,1439.5000000004075,1439.5000000004075,0,1439.5000000004075,1582.5000000004366,1586.8000000009488,0,31522,31522,
SW was stopped,https://importscript.surge.sh/network.json,resource,1435.6000000007043,151.20000000024447,fetch,http/1.1,1439.5000000004075,0,0,1439.5000000004075,1439.5000000004075,1439.5000000004075,1439.5000000004075,1439.5000000004075,0,1439.5000000004075,1582.5000000004366,1586.8000000009488,0,31522,31522,
SW was awake,https://importscript.surge.sh/network.json,resource,1901.7000000021653,188.19999999686843,fetch,,1904.6000000016647,0,0,1904.6000000016647,1904.6000000016647,1904.6000000016647,1904.6000000016647,1904.6000000016647,0,1904.6000000016647,2080.200000000332,2089.8999999990338,0,31522,31522,
SW was stopped,https://importscript.surge.sh/network.json,resource,2097.700000002078,238.2999999972526,fetch,,2100.000000002183,0,0,2100.000000002183,2100.000000002183,2100.000000002183,2100.000000002183,2100.000000002183,0,2100.000000002183,2331.00000000195,2335.9999999993306,0,31522,31522,
SW was awake,https://importscript.surge.sh/network.json,resource,2546.0999999995693,117.79999999998836,fetch,,2547.8000000002794,0,0,2547.8000000002794,2547.8000000002794,2547.8000000002794,2547.8000000002794,2547.8000000002794,0,2547.8000000002794,2659.2000000018743,2663.8999999995576,0,31522,31522,
SW was stopped,https://importscript.surge.sh/network.json,resource,2676.6999999999825,108.8000000017928,fetch,,2679.0000000000873,0,0,2679.0000000000873,2679.0000000000873,2679.0000000000873,2679.0000000000873,2679.0000000000873,0,2679.0000000000873,2782.500000001164,2785.5000000017753,0,31522,31522,
SW was awake,https://importscript.surge.sh/network.json,resource,2986.400000001595,186.60000000090804,fetch,,2989.6000000007916,0,0,2989.6000000007916,2989.6000000007916,2989.6000000007916,2989.6000000007916,2989.6000000007916,0,2989.6000000007916,3168.7999999994645,3173.000000002503,0,31522,31522,
SW was stopped,https://importscript.surge.sh/network.json,resource,3185.4000000021188,130.99999999758438,fetch,,3189.300000001822,0,0,3189.300000001822,3189.300000001822,3189.300000001822,3189.300000001822,3189.300000001822,0,3189.300000001822,3312.2000000003027,3316.399999999703,0,31522,31522,
SW was awake,https://importscript.surge.sh/network.json,resource,3792.700000001787,268.3999999972002,fetch,,3794.90000000078,0,0,3794.90000000078,3794.90000000078,3794.90000000078,3794.90000000078,3794.90000000078,0,3794.90000000078,4055.5999999996857,4061.099999998987,0,31522,31522,
SW was stopped,https://importscript.surge.sh/network.json,resource,4074.7000000010303,162.1000000013737,fetch,,4078.000000001339,0,0,4078.000000001339,4078.000000001339,4078.000000001339,4078.000000001339,4078.000000001339,0,4078.000000001339,4226.0000000023865,4236.800000002404,0,31522,31522,
SW was awake,https://importscript.surge.sh/network.json,resource,4520.000000000437,118.99999999877764,fetch,,4523.000000001048,0,0,4523.000000001048,4523.000000001048,4523.000000001048,4523.000000001048,4523.000000001048,0,4523.000000001048,4634.300000001531,4638.999999999214,0,31522,31522,
SW was stopped,https://importscript.surge.sh/network.json,resource,4653.000000002066,121.39999999999418,fetch,,4655.900000001566,0,0,4655.900000001566,4655.900000001566,4655.900000001566,4655.900000001566,4655.900000001566,0,4655.900000001566,4762.20000000103,4774.400000002061,0,31522,31522,
SW was awake,https://importscript.surge.sh/network.json,resource,5004.499999999098,87.20000000175787,fetch,,5007.200000000012,0,0,5007.200000000012,5007.200000000012,5007.200000000012,5007.200000000012,5007.200000000012,0,5007.200000000012,5088.800000001356,5091.700000000856,0,31522,31522,
SW was stopped,https://importscript.surge.sh/network.json,resource,5100.30000000188,92.39999999772408,fetch,,5102.500000000873,0,0,5102.500000000873,5102.500000000873,5102.500000000873,5102.500000000873,5102.500000000873,0,5102.500000000873,5189.600000001519,5192.699999999604,0,31522,31522,
SW was awake,https://importscript.surge.sh/network.json,resource,5436.300000001211,107.19999999855645,fetch,,5440.999999998894,0,0,5440.999999998894,5440.999999998894,5440.999999998894,5440.999999998894,5440.999999998894,0,5440.999999998894,5539.100000001781,5543.499999999767,0,31522,31522,
SW was stopped,https://importscript.surge.sh/network.json,resource,5554.000000000087,115.00000000160071,fetch,,5557.10000000181,0,0,5557.199999999284,5557.199999999284,5557.199999999284,5557.199999999284,5557.199999999284,0,5557.199999999284,5664.199999999255,5669.000000001688,0,31522,31522,
SW was awake,https://importscript.surge.sh/network.json,resource,5919.099999999162,97.60000000096625,fetch,,5922.000000002299,0,0,5922.000000002299,5922.000000002299,5922.000000002299,5922.000000002299,5922.000000002299,0,5922.000000002299,6014.699999999721,6016.700000000128,0,31522,31522,
SW was stopped,https://importscript.surge.sh/network.json,resource,6035.899999998946,182.7000000012049,fetch,,6038.199999999051,0,0,6038.199999999051,6038.199999999051,6038.199999999051,6038.199999999051,6038.199999999051,0,6038.199999999051,6209.500000000844,6218.600000000151,0,31522,31522,
