STATE,name,entryType,startTime,duration,initiatorType,nextHopProtocol,workerStart,redirectStart,redirectEnd,fetchStart,domainLookupStart,domainLookupEnd,connectStart,connectEnd,secureConnectionStart,requestStart,responseStart,responseEnd,transferSize,encodedBodySize,decodedBodySize,serverTiming
SW was awake,https://nonimportscript.surge.sh/network.json,resource,6790.59999999663,132.60000000082073,fetch,,6792.999999997846,0,0,6793.099999998958,6793.099999998958,6793.099999998958,6793.099999998958,6793.099999998958,0,6793.099999998958,6917.899999996735,6923.1999999974505,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,6790.59999999663,132.60000000082073,fetch,,6792.999999997846,0,0,6793.099999998958,6793.099999998958,6793.099999998958,6793.099999998958,6793.099999998958,0,6793.099999998958,6917.899999996735,6923.1999999974505,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,7177.79999999766,128.19999999919673,fetch,,7180.999999996857,0,0,7180.999999996857,7180.999999996857,7180.999999996857,7180.999999996857,7180.999999996857,0,7180.999999996857,7299.599999998463,7305.999999996857,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,7323.3000000000175,118.59999999796855,fetch,,7329.699999998411,0,0,7329.699999998411,7329.699999998411,7329.699999998411,7329.699999998411,7329.699999998411,0,7329.699999998411,7434.699999997974,7441.899999997986,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,7631.299999997282,95.90000000025611,fetch,,7633.299999997689,0,0,7633.299999997689,7633.299999997689,7633.299999997689,7633.299999997689,7633.299999997689,0,7633.299999997689,7706.099999999424,7727.199999997538,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,7717.999999997119,116.79999999978463,fetch,,7730.999999999767,0,0,7730.999999999767,7730.999999999767,7730.999999999767,7730.999999999767,7730.999999999767,0,7730.999999999767,7828.799999999319,7834.799999996903,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,8115.799999999581,130.09999999849242,fetch,,8118.800000000192,0,0,8118.800000000192,8118.800000000192,8118.800000000192,8118.800000000192,8118.800000000192,0,8118.800000000192,8241.699999998673,8245.899999998073,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,8278.09999999954,116.69999999867287,fetch,,8279.799999996612,0,0,8279.799999996612,8279.799999996612,8279.799999996612,8279.799999996612,8279.799999996612,0,8279.799999996612,8381.099999998696,8394.799999998213,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,8713.999999999942,137.29999999850406,fetch,,8715.399999997317,0,0,8715.399999997317,8715.399999997317,8715.399999997317,8715.399999997317,8715.399999997317,0,8715.399999997317,8846.599999997125,8851.299999998446,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,8862.79999999897,125.7000000005064,fetch,,8865.099999999074,0,0,8865.200000000186,8865.200000000186,8865.200000000186,8865.200000000186,8865.200000000186,0,8865.200000000186,8983.099999997648,8988.499999999476,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,9205.399999998917,153.39999999923748,fetch,,9208.599999998114,0,0,9208.599999998114,9208.599999998114,9208.599999998114,9208.599999998114,9208.599999998114,0,9208.599999998114,9351.399999999558,9358.799999998155,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,9368.499999996857,127.80000000202563,fetch,,9370.799999996962,0,0,9370.799999996962,9370.799999996962,9370.799999996962,9370.799999996962,9370.799999996962,0,9370.799999996962,9488.199999999779,9496.299999998882,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,9681.699999997363,105.29999999926076,fetch,,9683.099999998376,0,0,9683.099999998376,9683.099999998376,9683.099999998376,9683.099999998376,9683.099999998376,0,9683.099999998376,9781.100000000151,9786.999999996624,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,9799.599999998463,106.50000000168802,fetch,,9801.899999998568,0,0,9801.899999998568,9801.899999998568,9801.899999998568,9801.899999998568,9801.899999998568,0,9801.899999998568,9900.099999998929,9906.100000000151,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,10183.999999997468,74.89999999961583,fetch,,10186.200000000099,0,0,10186.200000000099,10186.200000000099,10186.200000000099,10186.200000000099,10186.200000000099,0,10186.200000000099,10245.299999998679,10258.899999997084,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,10262.99999999901,95.79999999914435,fetch,,10265.099999996892,0,0,10265.099999996892,10265.099999996892,10265.099999996892,10265.099999996892,10265.099999996892,0,10265.099999996892,10350.099999999657,10358.799999998155,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,10554.399999997258,111.10000000189757,fetch,,10556.59999999989,0,0,10556.59999999989,10556.59999999989,10556.59999999989,10556.59999999989,10556.59999999989,0,10556.59999999989,10659.700000000157,10665.499999999156,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,10674.89999999816,75.49999999901047,fetch,,10677.399999996851,0,0,10677.399999996851,10677.399999996851,10677.399999996851,10677.399999996851,10677.399999996851,0,10677.399999996851,10746.999999999389,10750.399999997171,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,10947.299999999814,102.19999999753782,fetch,,10949.799999998504,0,0,10949.799999998504,10949.799999998504,10949.799999998504,10949.799999998504,10949.799999998504,0,10949.799999998504,11044.099999999162,11049.499999997352,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,11058.499999999185,116.99999999837019,fetch,,11061.899999996967,0,0,11061.99999999808,11061.99999999808,11061.99999999808,11061.99999999808,11061.99999999808,0,11061.99999999808,11169.49999999997,11175.499999997555,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,11385.499999996682,104.80000000097789,fetch,,11387.599999998201,0,0,11387.699999999313,11387.699999999313,11387.699999999313,11387.699999999313,11387.699999999313,0,11387.699999999313,11486.499999999069,11490.29999999766,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,11498.29999999929,115.7999999995809,fetch,,11500.399999997171,0,0,11500.399999997171,11500.399999997171,11500.399999997171,11500.399999997171,11500.399999997171,0,11500.399999997171,11607.69999999684,11614.09999999887,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,11859.39999999755,110.19999999916763,fetch,,11863.299999997253,0,0,11863.299999997253,11863.299999997253,11863.299999997253,11863.299999997253,11863.299999997253,0,11863.299999997253,11963.89999999883,11969.599999996717,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,11981.099999997241,119.00000000241562,fetch,,11984.999999996944,0,0,11984.999999996944,11984.999999996944,11984.999999996944,11984.999999996944,11984.999999996944,0,11984.999999996944,12096.49999999965,12100.099999999657,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,12329.5999999973,152.40000000267173,fetch,,12332.699999999022,0,0,12332.699999999022,12332.699999999022,12332.699999999022,12332.699999999022,12332.699999999022,0,12332.699999999022,12472.399999998743,12481.99999999997,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,12488.999999997759,113.49999999947613,fetch,,12491.599999997561,0,0,12491.599999997561,12491.599999997561,12491.599999997561,12491.599999997561,12491.599999997561,0,12491.599999997561,12595.99999999773,12602.499999997235,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,12793.799999999464,109.00000000037835,fetch,,12797.099999999773,0,0,12797.099999999773,12797.099999999773,12797.099999999773,12797.099999999773,12797.099999999773,0,12797.099999999773,12898.49999999933,12902.799999999843,0,31522,31522,
