STATE,is,e_is,ofv,mbv,pc,ol
SW was awake,390.400000000227,439.50000000040745,464.19999999852735,479.6999999998661,1279.2000000008557,1279.900000001362
SW was stopped,315.99999999889405,373.40000000040163,394.799999998213,414.99999999723514,1350.0999999996566,1477.599999998347
SW was awake,447.4999999983993,490.20000000018626,508.20000000021537,523.6000000004424,1889.2999999989115,1890.1000000005297
SW was stopped,351.99999999895226,404.59999999802676,425.0999999967462,442.19999999768334,1847.69999999844,1875.1999999985856
SW was awake,315.3999999994994,365.7999999995809,385.2999999980966,406.39999999984866,1993.0999999996857,2110.5999999999767
SW was stopped,362.39999999816064,418.8999999969383,444.099999996979,468.7999999987369,1168.4999999997672,1349.6999999988475
SW was awake,373.29999999928987,430.5999999996857,449.5999999999185,465.1999999987311,1321.4999999981956,1477.8999999980442
SW was stopped,393.0000000000291,456.9000000010419,475.29999999824213,491.2999999978638,1015.8999999985099,1173.5000000007858
SW was awake,374.80000000141445,419.70000000219443,437.5,453.10000000245054,1032.100000000355,1137.9000000015367
SW was stopped,333.99999999892316,378.0000000006112,397.4999999991269,413.49999999874854,1421.3999999992666,1757.6999999982945
SW was awake,382.90000000051805,444.1999999980908,469.199999999546,486.4999999990687,1297.099999999773,1482.799999997951
SW was stopped,376.1999999987893,434.79999999908614,453.79999999931897,479.1000000004715,1276.799999999639,1277.3999999990338
SW was awake,375.2999999996973,419.99999999825377,437.69999999858555,459.2000000011467,1053.1999999984691,1053.7999999978638
SW was stopped,382.90000000051805,434.79999999908614,454.0999999990163,470.6000000005588,1272.4999999991269,1409.4999999979336
SW was awake,323.1000000014319,376.20000000242726,405.0000000024738,432.4000000015076,1074.5000000024447,1075.5000000026484
SW was stopped,423.60000000189757,484.599999999773,503.0000000006112,518.50000000195,1266.2000000018452,1442.800000000716
SW was awake,342.09999999802676,408.8000000010652,427.1000000007916,442.9999999993015,899.9000000003434,1043.600000000879
SW was stopped,424.299999998766,481.7000000002736,499.5999999991909,514.8999999983062,1032.7999999972235,1199.799999998504
SW was awake,347.4999999998545,397.7999999988242,417.1999999998661,433.4999999991851,1173.2999999985623,1174.1999999976542
SW was stopped,380.30000000071595,430.29999999998836,450.80000000234577,470.40000000197324,1542.8000000028987,1756.0000000012224
SW was awake,324.1999999991094,380.1999999996042,401.39999999883,420.6999999987602,1140.800000001036,1146.7000000011467
SW was stopped,330.999999998312,385.2000000006228,405.69999999934225,424.5999999984633,1386.6999999991094,1578.6999999982072
SW was awake,374.5999999991909,450.89999999981956,472.3999999987427,488.9000000002852,1716.8000000019674,1717.400000001362
SW was stopped,364.40000000220607,411.0000000000582,431.00000000049477,446.89999999900465,1262.9999999990105,1426.900000002206
SW was awake,376.59999999959837,425.8000000008906,444.99999999970896,468.3999999979278,2047.999999998865,2048.500000000786
SW was stopped,429.8999999991793,489.09999999887077,509.69999999870197,527.5999999976193,1396.6999999975087,1397.3000000005413
SW was awake,424.10000000018044,484.00000000037835,501.7999999981839,517.2999999995227,1531.9999999992433,1532.8000000008615
SW was stopped,367.50000000029104,413.8999999995576,433.100000002014,449.00000000052387,1869.6000000018103,1875
SW was awake,386.7999999965832,440.7999999966705,465.7999999981257,482.6999999968393,1366.599999997561,1491.7999999997846
SW was stopped,682.1000000018103,733.1000000012864,758.800000003248,776.3000000013562,2102.100000000064,2255.200000003242
SW was awake,361.3000000004831,408.4000000002561,427.9999999998836,449.40000000133296,2962.7000000000407,4320.800000001327
SW was stopped,373.5999999989872,418.3999999986554,436.0999999989872,458.90000000144937,1439.3999999992957,1885.2000000006228
SW was awake,383.8999999970838,462.4000000003434,485.49999999886495,502.79999999838765,1095.499999999447,1203.1999999999243
SW was stopped,317.9000000018277,374.2000000020198,393.50000000194996,410.40000000066357,1462.100000000646,1462.8000000011525
SW was awake,416.4999999993597,484.8999999994703,506.1999999998079,527.9000000009546,1382.499999999709,1533.5000000013679
SW was stopped,351.99999999895226,399.10000000236323,419.7999999996682,450.0000000007276,1328.4000000021479,1329.4000000023516
SW was awake,384.5000000001164,450.700000001234,471.3000000010652,488.79999999917345,1319.4000000003143,1470.4000000019732
SW was stopped,369.3999999995867,418.4000000022934,436.7999999994936,458.0999999998312,1289.1000000017812,1439.8000000001048
SW was awake,322.7000000006228,390.99999999962165,409.8000000012689,425.4000000000815,848.3999999989464,953.6000000007334
SW was stopped,289.89999999976135,350.20000000076834,368.399999999383,384.79999999981374,1323.4000000011292,1323.899999999412
SW was awake,365.99999999816646,415.19999999945867,433.99999999746797,449.5999999999185,1477.6999999994587,1483.5999999995693
SW was stopped,358.1999999987602,415.29999999693246,435.1999999998952,452.900000000227,1015.5999999988126,1210.2999999988242
SW was awake,518.7999999980093,564.5999999978812,585.399999999936,602.999999999156,1155.1999999974214,1155.8999999979278
SW was stopped,359.40000000118744,412.00000000026193,431.80000000211294,447.0000000001164,1000.8000000016182,1001.5000000021246
SW was awake,353.9999999993597,405.39999999964493,423.8999999979569,439.2999999981839,1389.5999999986088,1390.2999999991152
SW was stopped,423.1999999974505,466.6999999972177,484.9999999969441,506.89999999667634,1341.1999999989348,1528.8999999975204
