STATE,name,entryType,startTime,duration,initiatorType,nextHopProtocol,workerStart,redirectStart,redirectEnd,fetchStart,domainLookupStart,domainLookupEnd,connectStart,connectEnd,secureConnectionStart,requestStart,responseStart,responseEnd,transferSize,encodedBodySize,decodedBodySize,serverTiming
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,3110.5999999999767,11.899999997694977,fetch,,3112.0999999984633,0,0,3112.0999999984633,3112.0999999984633,3112.0999999984633,3112.0999999984633,3112.0999999984633,0,3112.0999999984633,3119.199999997363,3122.4999999976717,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,3210.9999999993306,13.29999999870779,fetch,,3212.4000000003434,0,0,3212.4000000003434,3212.4000000003434,3212.4000000003434,3212.4000000003434,3212.4000000003434,0,3212.4000000003434,3220.900000000256,3224.2999999980384,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,3229.1999999979453,13.300000002345769,fetch,,3230.7999999975436,0,0,3230.7999999975436,3230.7999999975436,3230.7999999975436,3230.7999999975436,3230.7999999975436,0,3230.7999999975436,3239.0999999988708,3242.500000000291,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,3335.1000000002387,12.599999998201383,fetch,,3336.299999999028,0,0,3336.4000000001397,3336.4000000001397,3336.4000000001397,3336.4000000001397,3336.4000000001397,0,3336.4000000001397,3344.9000000000524,3347.69999999844,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,3352.199999997538,11.600000001635635,fetch,,3353.499999997439,0,0,3353.499999997439,3353.499999997439,3353.499999997439,3353.499999997439,3353.499999997439,0,3353.499999997439,3360.499999998865,3363.7999999991735,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,3454.200000000128,12.299999998504063,fetch,,3455.500000000029,0,0,3455.500000000029,3455.500000000029,3455.500000000029,3455.500000000029,3455.500000000029,0,3455.500000000029,3463.499999998021,3466.499999998632,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,3471.90000000046,11.49999999688589,fetch,,3473.200000000361,0,0,3473.200000000361,3473.200000000361,3473.200000000361,3473.200000000361,3473.200000000361,0,3473.200000000361,3480.4000000003725,3483.3999999973457,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,3574.9999999970896,12.600000001839362,fetch,,3576.2999999969907,0,0,3576.2999999969907,3576.2999999969907,3576.2999999969907,3576.2999999969907,3576.2999999969907,0,3576.2999999969907,3584.599999998318,3587.599999998929,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,3592.399999997724,12.09999999991851,fetch,,3593.699999997625,0,0,3593.699999997625,3593.699999997625,3593.699999997625,3593.699999997625,3593.699999997625,0,3593.699999997625,3601.3999999995576,3604.4999999976426,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,3702.2999999971944,12.500000000727596,fetch,,3703.5999999970954,0,0,3703.5999999970954,3703.5999999970954,3703.5999999970954,3703.5999999970954,3703.5999999970954,0,3703.5999999970954,3711.9999999995343,3714.799999997922,0,31522,31522,
