STATE,name,entryType,startTime,duration,initiatorType,nextHopProtocol,workerStart,redirectStart,redirectEnd,fetchStart,domainLookupStart,domainLookupEnd,connectStart,connectEnd,secureConnectionStart,requestStart,responseStart,responseEnd,transferSize,encodedBodySize,decodedBodySize,serverTiming
SW was awake,https://importscript.surge.sh/cache.json,resource,1274.4000000020606,45.29999999795109,fetch,http/1.1,1276.7000000021653,0,0,1293.099999998958,1293.099999998958,1293.099999998958,1293.099999998958,1293.099999998958,0,1293.099999998958,1314.3999999992957,1319.7000000000116,0,31522,31522,
SW was stopped,https://importscript.surge.sh/cache.json,resource,1345.0000000011642,21.300000000337604,fetch,http/1.1,1347.4999999998545,0,0,1347.4999999998545,1347.4999999998545,1347.4999999998545,1347.4999999998545,1347.4999999998545,0,1347.4999999998545,1360.1000000016938,1366.3000000015018,0,31522,31522,
SW was awake,https://importscript.surge.sh/cache.json,resource,1559.1000000022177,19.69999999710126,fetch,,1561.7000000020198,0,0,1561.7000000020198,1561.7000000020198,1561.7000000020198,1561.7000000020198,1561.7000000020198,0,1561.7000000020198,1574.1999999991094,1578.799999999319,0,31522,31522,
SW was stopped,https://importscript.surge.sh/cache.json,resource,1559.1000000022177,19.69999999710126,fetch,,1561.7000000020198,0,0,1561.7000000020198,1561.7000000020198,1561.7000000020198,1561.7000000020198,1561.7000000020198,0,1561.7000000020198,1574.1999999991094,1578.799999999319,0,31522,31522,
SW was awake,https://importscript.surge.sh/cache.json,resource,1748.8000000012107,11.800000000221189,fetch,,1750.400000000809,0,0,1750.400000000809,1750.400000000809,1750.400000000809,1750.400000000809,1750.400000000809,0,1750.400000000809,1758.399999998801,1760.600000001432,0,31522,31522,
SW was stopped,https://importscript.surge.sh/cache.json,resource,1777.6000000012573,75.49999999901047,fetch,,1778.9000000011583,0,0,1838.7000000002445,1838.7000000002445,1838.7000000002445,1838.7000000002445,1838.7000000002445,0,1838.7000000002445,1851.3999999995576,1853.1000000002678,0,31522,31522,
SW was awake,https://importscript.surge.sh/cache.json,resource,1862.1000000021013,11.299999998300336,fetch,,1863.4000000020023,0,0,1863.4000000020023,1863.4000000020023,1863.4000000020023,1863.4000000020023,1863.4000000020023,0,1863.4000000020023,1871.900000001915,1873.4000000004016,0,31522,31522,
SW was stopped,https://importscript.surge.sh/cache.json,resource,1880.6000000004133,12.600000001839362,fetch,,1881.7999999992026,0,0,1881.7999999992026,1881.7999999992026,1881.7999999992026,1881.7999999992026,1881.7999999992026,0,1881.7999999992026,1889.9000000019441,1893.2000000022526,0,31522,31522,
SW was awake,https://importscript.surge.sh/cache.json,resource,2000.400000000809,18.000000000029104,fetch,,2002.8999999994994,0,0,2002.8999999994994,2002.8999999994994,2002.8999999994994,2002.8999999994994,2002.8999999994994,0,2002.8999999994994,2014.100000000326,2018.4000000008382,0,31522,31522,
SW was stopped,https://importscript.surge.sh/cache.json,resource,2056.1000000016065,114.49999999967986,fetch,,2057.8999999997905,0,0,2148.700000001554,2148.700000001554,2148.700000001554,2148.700000001554,2148.700000001554,0,2148.700000001554,2166.900000000169,2170.6000000012864,0,31522,31522,
SW was awake,https://importscript.surge.sh/cache.json,resource,2221.4999999996508,26.60000000105356,fetch,,2224.6000000013737,0,0,2224.6000000013737,2224.6000000013737,2224.6000000013737,2224.6000000013737,2224.6000000013737,0,2224.6000000013737,2241.9000000008964,2248.1000000007043,0,31522,31522,
SW was stopped,https://importscript.surge.sh/cache.json,resource,2288.300000000163,121.60000000221771,fetch,,2294.2000000002736,0,0,2391.1000000007334,2391.1000000007334,2391.1000000007334,2391.1000000007334,2391.1000000007334,0,2391.1000000007334,2407.500000001164,2409.9000000023807,0,31522,31522,
SW was awake,https://importscript.surge.sh/cache.json,resource,2440.600000001723,13.499999997293344,fetch,,2442.1000000002095,0,0,2442.1000000002095,2442.1000000002095,2442.1000000002095,2442.1000000002095,2442.1000000002095,0,2442.1000000002095,2451.499999999214,2454.0999999990163,0,31522,31522,
SW was stopped,https://importscript.surge.sh/cache.json,resource,2440.600000001723,13.499999997293344,fetch,,2442.1000000002095,0,0,2442.1000000002095,2442.1000000002095,2442.1000000002095,2442.1000000002095,2442.1000000002095,0,2442.1000000002095,2451.499999999214,2454.0999999990163,0,31522,31522,
SW was awake,https://importscript.surge.sh/cache.json,resource,2568.5000000012224,11.500000000523869,fetch,,2569.900000002235,0,0,2569.900000002235,2569.900000002235,2569.900000002235,2569.900000002235,2569.900000002235,0,2569.900000002235,2577.400000001944,2580.0000000017462,0,31522,31522,
SW was stopped,https://importscript.surge.sh/cache.json,resource,2568.5000000012224,11.500000000523869,fetch,,2569.900000002235,0,0,2569.900000002235,2569.900000002235,2569.900000002235,2569.900000002235,2569.900000002235,0,2569.900000002235,2577.400000001944,2580.0000000017462,0,31522,31522,
SW was awake,https://importscript.surge.sh/cache.json,resource,2697.8000000017346,10.699999998905696,fetch,,2699.1999999991094,0,0,2699.1999999991094,2699.1999999991094,2699.1999999991094,2699.1999999991094,2699.1999999991094,0,2699.1999999991094,2706.3000000016473,2708.5000000006403,0,31522,31522,
SW was stopped,https://importscript.surge.sh/cache.json,resource,2721.90000000046,70.70000000021537,fetch,,2723.099999999249,0,0,2777.3999999990338,2777.3999999990338,2777.3999999990338,2777.3999999990338,2777.3999999990338,0,2777.3999999990338,2790.6000000002678,2792.600000000675,0,31522,31522,
SW was awake,https://importscript.surge.sh/cache.json,resource,2820.2000000019325,14.899999998306157,fetch,,2821.5999999993073,0,0,2821.5999999993073,2821.5999999993073,2821.5999999993073,2821.5999999993073,2821.5999999993073,0,2821.5999999993073,2832.399999999325,2835.1000000002387,0,31522,31522,
SW was stopped,https://importscript.surge.sh/cache.json,resource,2820.2000000019325,14.899999998306157,fetch,,2821.5999999993073,0,0,2821.5999999993073,2821.5999999993073,2821.5999999993073,2821.5999999993073,2821.5999999993073,0,2821.5999999993073,2832.399999999325,2835.1000000002387,0,31522,31522,
SW was awake,https://importscript.surge.sh/cache.json,resource,2948.100000001432,11.099999999714782,fetch,,2949.400000001333,0,0,2949.400000001333,2949.400000001333,2949.400000001333,2949.400000001333,2949.400000001333,0,2949.400000001333,2957.2000000007392,2959.2000000011467,0,31522,31522,
SW was stopped,https://importscript.surge.sh/cache.json,resource,2948.100000001432,11.099999999714782,fetch,,2949.400000001333,0,0,2949.400000001333,2949.400000001333,2949.400000001333,2949.400000001333,2949.400000001333,0,2949.400000001333,2957.2000000007392,2959.2000000011467,0,31522,31522,
SW was awake,https://importscript.surge.sh/cache.json,resource,3068.1000000004133,12.99999999901047,fetch,,3070.1000000008207,0,0,3070.1000000008207,3070.1000000008207,3070.1000000008207,3070.1000000008207,3070.1000000008207,0,3070.1000000008207,3078.4999999996217,3081.0999999994237,0,31522,31522,
SW was stopped,https://importscript.surge.sh/cache.json,resource,3097.4999999998545,76.70000000143773,fetch,,3099.2000000005646,0,0,3158.9999999996508,3158.9999999996508,3158.9999999996508,3158.9999999996508,3158.9999999996508,0,3158.9999999996508,3172.099999999773,3174.200000001292,0,31522,31522,
SW was awake,https://importscript.surge.sh/cache.json,resource,3201.9000000000233,11.200000000826549,fetch,,3203.300000001036,0,0,3203.300000001036,3203.300000001036,3203.300000001036,3203.300000001036,3203.300000001036,0,3203.300000001036,3210.9999999993306,3213.10000000085,0,31522,31522,
SW was stopped,https://importscript.surge.sh/cache.json,resource,3201.9000000000233,11.200000000826549,fetch,,3203.300000001036,0,0,3203.300000001036,3203.300000001036,3203.300000001036,3203.300000001036,3203.300000001036,0,3203.300000001036,3210.9999999993306,3213.10000000085,0,31522,31522,
SW was awake,https://importscript.surge.sh/cache.json,resource,3310.199999999895,11.000000002240995,fetch,,3311.4000000023225,0,0,3311.4000000023225,3311.4000000023225,3311.4000000023225,3311.4000000023225,3311.4000000023225,0,3311.4000000023225,3319.2999999992026,3321.200000002136,0,31522,31522,
SW was stopped,https://importscript.surge.sh/cache.json,resource,3363.7000000016997,67.80000000071595,fetch,,3365.0999999990745,0,0,3416.1999999996624,3416.1999999996624,3416.1999999996624,3416.1999999996624,3416.1999999996624,0,3416.1999999996624,3429.500000002008,3431.5000000024156,0,31522,31522,
SW was awake,https://importscript.surge.sh/cache.json,resource,3458.600000001752,10.800000000017462,fetch,,3459.900000001653,0,0,3459.900000001653,3459.900000001653,3459.900000001653,3459.900000001653,3459.900000001653,0,3459.900000001653,3467.3000000002503,3469.4000000017695,0,31522,31522,
